"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
65,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
60,"Native","Fairly Important","Very Important","Essential",NA,NA,"Not Important At All",NA,NA,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,25,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Immigrant",NA,NA,NA,NA,NA,NA,NA,15,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native","Not Very Important","Very Important","Very Important","Not Important At All","Very Important","Not Important At All","Not Important At All",NA,0,0
61,"Immigrant","Very Important","Very Important","Essential","Very Important","Very Important","Fairly Important","Fairly Important",44,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Immigrant","Fairly Important","Essential","Essential","Essential","Not Very Important","Not Very Important","Not Very Important",15,1,1
71,"Native","Very Important","Fairly Important","Essential","Fairly Important","Very Important","Not Very Important","Very Important",NA,1,1
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Native","Not Important At All","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
65,"Immigrant","Essential","Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All",50,0,1
56,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
22,"Native","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
33,"Immigrant",NA,NA,NA,NA,NA,NA,NA,5,NA,NA
NA,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native","Fairly Important","Not Very Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
33,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Very Important","Not Important At All","Not Important At All",NA,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Fairly Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
43,"Immigrant","Fairly Important","Very Important","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important",21,0,0
44,"Immigrant",NA,NA,NA,NA,NA,NA,NA,28,NA,NA
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Very Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",NA,0,0
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Immigrant",NA,NA,NA,NA,NA,NA,NA,23,NA,NA
53,"Native","Not Important At All","Not Very Important","Very Important","Not Important At All","Not Very Important","Not Important At All","Not Very Important",NA,1,0
NA,"Native","Not Important At All","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
62,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
62,"Native","Fairly Important","Fairly Important","Essential","Fairly Important",NA,"Not Important At All","Not Important At All",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Not Important At All","Fairly Important","Essential","Not Very Important","Not Important At All",NA,"Not Important At All",NA,1,0
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
24,"Native","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Native","Very Important",NA,"Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native","Fairly Important","Fairly Important","Essential","Essential","Not Important At All","Not Important At All","Not Important At All",NA,1,1
30,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
57,"Immigrant",NA,NA,NA,NA,NA,NA,NA,28,NA,NA
45,"Native",NA,"Fairly Important","Fairly Important","Not Very Important",NA,NA,NA,NA,0,0
43,"Immigrant","Very Important","Essential","Essential","Very Important","Fairly Important","Fairly Important","Not Very Important",19,0,0
31,"Native","Very Important","Essential","Essential","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
82,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
58,"Immigrant","Not Important At All","Very Important","Essential","Very Important","Not Important At All","Not Important At All","Not Important At All",41,0,0
89,"Native","Not Important At All","Not Important At All","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
51,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
78,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Very Important","Not Important At All","Essential","Not Important At All","Not Important At All","Essential","Not Very Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
51,"Native",NA,NA,"Fairly Important","Very Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
NA,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Immigrant","Not Important At All","Essential","Essential","Not Very Important","Not Important At All","Not Important At All","Very Important",36,0,0
57,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
62,"Native","Not Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
62,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Not Important At All","Fairly Important","Essential",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native","Very Important","Very Important","Essential","Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
73,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,0,0
49,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Not Important At All","Not Important At All","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
32,"Native","Very Important","Very Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
22,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Important At All","Very Important","Not Important At All",NA,0,0
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native","Essential","Essential","Essential","Essential","Not Important At All","Not Important At All","Not Important At All",NA,1,1
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Immigrant","Very Important","Very Important","Essential","Fairly Important",NA,"Not Important At All","Not Important At All",16,1,0
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native","Not Very Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
70,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Very Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Immigrant","Not Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",25,1,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native","Very Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Very Important",NA,1,1
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Not Very Important","Not Very Important","Fairly Important",NA,1,0
22,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,0,1
61,"Immigrant",NA,NA,NA,NA,NA,NA,NA,34,NA,NA
79,"Immigrant",NA,NA,NA,NA,NA,NA,NA,31,NA,NA
38,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Immigrant",NA,NA,NA,NA,NA,NA,NA,50,NA,NA
28,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Immigrant","Very Important","Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All","Very Important",30,0,1
41,"Immigrant",NA,NA,NA,NA,NA,NA,NA,6,NA,NA
54,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Immigrant","Not Very Important","Fairly Important","Fairly Important","Not Important At All","Not Very Important","Very Important","Essential",51,0,0
89,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Native","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Very Important",NA,0,0
24,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native","Not Very Important","Not Very Important","Very Important","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,1,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Immigrant",NA,NA,NA,NA,NA,NA,NA,15,NA,NA
58,"Native","Not Very Important","Not Important At All","Fairly Important","Fairly Important","Not Important At All","Not Very Important","Not Important At All",NA,0,0
84,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native","Not Very Important","Not Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Very Important","Very Important","Essential","Not Important At All","Very Important","Not Important At All","Fairly Important",NA,1,0
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Essential",NA,0,0
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Immigrant","Very Important","Very Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",5,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Very Important",NA,0,0
74,"Native","Very Important","Fairly Important","Very Important","Very Important","Very Important","Not Very Important","Fairly Important",NA,0,0
54,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
46,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native","Essential","Essential","Essential","Not Very Important","Very Important","Fairly Important","Very Important",NA,1,0
65,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important",NA,0,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",NA,0,0
35,"Immigrant",NA,NA,NA,NA,NA,NA,NA,3,NA,NA
36,"Native","Essential","Essential","Essential","Not Very Important","Very Important","Not Very Important","Not Important At All",NA,1,0
43,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Fairly Important","Essential","Fairly Important",NA,1,0
NA,"Immigrant","Very Important",NA,NA,"Not Very Important",NA,"Not Very Important","Not Very Important",NA,NA,0
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Essential","Very Important","Essential","Very Important","Very Important","Very Important","Fairly Important",NA,1,1
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Immigrant","Very Important","Very Important","Very Important","Not Important At All","Not Very Important","Not Important At All","Not Important At All",11,1,0
40,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
33,"Native","Essential","Fairly Important","Fairly Important","Essential","Very Important","Not Very Important","Fairly Important",NA,0,1
57,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
32,"Immigrant","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",4,1,1
69,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
28,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
41,"Native","Fairly Important","Essential","Essential","Essential","Very Important","Very Important",NA,NA,0,0
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Important At All","Not Important At All","Not Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native","Very Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Native","Not Very Important","Fairly Important","Essential","Not Important At All","Fairly Important","Not Very Important","Not Very Important",NA,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,4,NA,NA
53,"Native","Fairly Important","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native","Fairly Important","Essential","Essential","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,1
50,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
37,"Immigrant",NA,NA,NA,NA,NA,NA,NA,26,NA,NA
35,"Immigrant",NA,NA,NA,NA,NA,NA,NA,19,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Very Important",NA,1,1
28,"Immigrant","Very Important","Fairly Important","Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All",7,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Immigrant",NA,NA,NA,NA,NA,NA,NA,8,NA,NA
63,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Very Important","Not Very Important",NA,0,0
51,"Native","Fairly Important","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,0,0
44,"Native","Not Very Important","Fairly Important","Essential","Fairly Important","Not Important At All","Essential","Very Important",NA,1,0
78,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important",NA,"Essential","Very Important",NA,0,0
46,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
42,"Immigrant","Very Important","Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All",7,NA,0
20,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Immigrant",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
36,"Immigrant",NA,NA,NA,NA,NA,NA,NA,11,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Fairly Important","Not Very Important",NA,0,0
60,"Immigrant",NA,NA,NA,NA,NA,NA,NA,41,NA,NA
35,"Immigrant",NA,NA,NA,NA,NA,NA,NA,25,NA,NA
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native","Very Important","Essential","Essential","Fairly Important","Fairly Important","Not Important At All","Fairly Important",NA,1,1
39,"Native","Not Important At All","Essential","Essential","Not Very Important","Not Important At All","Not Very Important","Not Important At All",NA,1,0
68,"Native","Not Very Important","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Immigrant",NA,NA,NA,NA,NA,NA,NA,26,NA,NA
45,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
42,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Very Important",NA,0,0
74,"Native","Very Important","Very Important","Essential","Very Important","Fairly Important","Not Very Important","Very Important",NA,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Immigrant","Very Important","Very Important","Essential","Fairly Important","Fairly Important","Very Important","Not Very Important",4,0,0
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Very Important","Essential","Very Important","Fairly Important","Not Very Important",NA,NA,1,0
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
57,"Immigrant","Fairly Important","Fairly Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",30,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,56,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Immigrant","Fairly Important","Very Important","Essential","Fairly Important","Not Very Important","Not Important At All","Not Very Important",14,0,0
58,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,8,NA,NA
33,"Immigrant",NA,NA,NA,NA,NA,NA,NA,25,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native","Very Important","Very Important","Essential","Very Important","Not Very Important","Fairly Important","Not Important At All",NA,0,1
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Important At All","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native","Fairly Important","Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
34,"Native","Essential","Very Important","Very Important","Essential","Fairly Important","Not Very Important","Very Important",NA,0,1
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Native","Not Important At All","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
27,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
61,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
37,"Native","Very Important","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
48,"Native","Not Very Important","Very Important","Very Important","Fairly Important","Very Important","Very Important","Very Important",NA,0,0
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Immigrant","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",65,1,0
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Very Important",NA,0,0
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Very Important",NA,0,0
65,"Immigrant","Not Important At All","Not Important At All","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",63,0,0
63,"Immigrant",NA,NA,NA,NA,NA,NA,NA,14,NA,NA
34,"Native","Not Very Important","Not Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important","Not Important At All",NA,1,0
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Not Important At All","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
44,"Native","Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,0,0
35,"Immigrant",NA,NA,NA,NA,NA,NA,NA,32,NA,NA
57,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,23,NA,NA
60,"Native","Very Important","Very Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
66,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
